k_matrix,k_fault,viscosity,S_matrix,S_fault,rate,fz_thickness
1.93069772888325E-13,3.72759372031494E-11,0.0001,2.45714285714286E-11,8.1E-11,20,100
1.93069772888325E-13,3.72759372031494E-11,0.0001,8.1E-11,8.1E-11,20,100
1.93069772888325E-13,8.48342898244072E-11,0.0001,1.32857142857143E-11,2.45714285714286E-11,20,100
1.93069772888325E-13,8.48342898244072E-11,0.0001,5.84285714285714E-11,6.97142857142857E-11,20,100
1.93069772888325E-13,8.48342898244072E-11,0.0001,1.37428571428571E-10,1.6E-10,20,100
1.93069772888325E-13,1.63789370695407E-11,0.0001,4.71428571428571E-11,1.14857142857143E-10,20,200
1.93069772888325E-13,1.63789370695407E-11,0.0001,1.26142857142857E-10,1.26142857142857E-10,20,200
1.93069772888325E-13,3.72759372031494E-11,0.0001,3.58571428571428E-11,6.97142857142857E-11,20,200
1.93069772888325E-13,3.72759372031494E-11,0.0001,9.22857142857143E-11,1.26142857142857E-10,20,200
1.93069772888325E-13,8.48342898244072E-11,0.0001,2.45714285714286E-11,3.58571428571428E-11,20,200
1.93069772888325E-13,8.48342898244072E-11,0.0001,6.97142857142857E-11,1.26142857142857E-10,20,200
1.93069772888325E-13,1.63789370695407E-11,0.0001,1.32857142857143E-11,1.26142857142857E-10,20,300
1.93069772888325E-13,1.63789370695407E-11,0.0001,6.97142857142857E-11,6.97142857142857E-11,20,300
1.93069772888325E-13,3.72759372031494E-11,0.0001,2E-12,6.97142857142857E-11,20,300
1.93069772888325E-13,3.72759372031494E-11,0.0001,4.71428571428571E-11,1.37428571428571E-10,20,300
1.93069772888325E-13,3.72759372031494E-11,0.0001,1.26142857142857E-10,1.48714285714286E-10,20,300
1.93069772888325E-13,8.48342898244072E-11,0.0001,3.58571428571428E-11,1.14857142857143E-10,20,300
1.93069772888325E-13,8.48342898244072E-11,0.0001,1.03571428571429E-10,1.03571428571429E-10,20,300
1.93069772888325E-13,1.93069772888325E-10,0.0001,2.45714285714286E-11,4.71428571428571E-11,20,100
1.93069772888325E-13,1.93069772888325E-10,0.0001,6.97142857142857E-11,1.37428571428571E-10,20,100
1.93069772888325E-13,4.39397056076079E-10,0.0001,2E-12,1.48714285714286E-10,20,100
1.93069772888325E-13,4.39397056076079E-10,0.0001,4.71428571428571E-11,1.48714285714286E-10,20,100
1.93069772888325E-13,4.39397056076079E-10,0.0001,1.26142857142857E-10,1.6E-10,20,100
1.93069772888325E-13,1.93069772888325E-10,0.0001,3.58571428571428E-11,1.03571428571429E-10,20,200
1.93069772888325E-13,1.93069772888325E-10,0.0001,9.22857142857143E-11,1.6E-10,20,200
1.93069772888325E-13,4.39397056076079E-10,0.0001,2.45714285714286E-11,8.1E-11,20,200
1.93069772888325E-13,4.39397056076079E-10,0.0001,8.1E-11,8.1E-11,20,200
1.93069772888325E-13,1.93069772888325E-10,0.0001,1.32857142857143E-11,9.22857142857143E-11,20,300
1.93069772888325E-13,1.93069772888325E-10,0.0001,5.84285714285714E-11,1.37428571428571E-10,20,300
1.93069772888325E-13,4.39397056076079E-10,0.0001,2E-12,2.45714285714286E-11,20,300
1.93069772888325E-13,4.39397056076079E-10,0.0001,4.71428571428571E-11,1.14857142857143E-10,20,300
1.93069772888325E-13,4.39397056076079E-10,0.0001,1.26142857142857E-10,1.26142857142857E-10,20,300
1.93069772888325E-13,0.000000001,0.0001,3.58571428571428E-11,3.58571428571428E-11,20,100
1.93069772888325E-13,0.000000001,0.0001,9.22857142857143E-11,9.22857142857143E-11,20,100
1.93069772888325E-13,0.000000001,0.0001,2.45714285714286E-11,2.45714285714286E-11,20,200
1.93069772888325E-13,0.000000001,0.0001,6.97142857142857E-11,1.14857142857143E-10,20,200
1.93069772888325E-13,0.000000001,0.0001,1.32857142857143E-11,4.71428571428571E-11,20,300
1.93069772888325E-13,0.000000001,0.0001,5.84285714285714E-11,9.22857142857143E-11,20,300
1.93069772888325E-13,0.000000001,0.0001,1.48714285714286E-10,1.6E-10,20,300
4.39397056076079E-13,6.10540229658534E-13,0.0001,3.58571428571428E-11,1.03571428571429E-10,20,100
4.39397056076079E-13,6.10540229658534E-13,0.0001,9.22857142857143E-11,1.6E-10,20,100
4.39397056076079E-13,6.10540229658534E-13,0.0001,1.32857142857143E-11,1.6E-10,20,200
4.39397056076079E-13,6.10540229658534E-13,0.0001,6.97142857142857E-11,1.03571428571429E-10,20,200
4.39397056076079E-13,6.10540229658534E-13,0.0001,2E-12,9.22857142857143E-11,20,300
4.39397056076079E-13,6.10540229658534E-13,0.0001,4.71428571428571E-11,9.22857142857143E-11,20,300
4.39397056076079E-13,6.10540229658534E-13,0.0001,1.14857142857143E-10,1.48714285714286E-10,20,300
4.39397056076079E-13,1.38949549437314E-12,0.0001,2.45714285714286E-11,1.26142857142857E-10,20,100
4.39397056076079E-13,1.38949549437314E-12,0.0001,8.1E-11,1.26142857142857E-10,20,100
4.39397056076079E-13,3.16227766016838E-12,0.0001,1.32857142857143E-11,4.71428571428571E-11,20,100
4.39397056076079E-13,3.16227766016838E-12,0.0001,5.84285714285714E-11,9.22857142857143E-11,20,100
4.39397056076079E-13,3.16227766016838E-12,0.0001,1.48714285714286E-10,1.6E-10,20,100
4.39397056076079E-13,1.38949549437314E-12,0.0001,3.58571428571428E-11,1.03571428571429E-10,20,200
4.39397056076079E-13,1.38949549437314E-12,0.0001,9.22857142857143E-11,1.6E-10,20,200
4.39397056076079E-13,3.16227766016838E-12,0.0001,2.45714285714286E-11,3.58571428571428E-11,20,200
4.39397056076079E-13,3.16227766016838E-12,0.0001,6.97142857142857E-11,1.26142857142857E-10,20,200
4.39397056076079E-13,1.38949549437314E-12,0.0001,2E-12,1.14857142857143E-10,20,300
4.39397056076079E-13,1.38949549437314E-12,0.0001,4.71428571428571E-11,1.37428571428571E-10,20,300
4.39397056076079E-13,1.38949549437314E-12,0.0001,1.26142857142857E-10,1.48714285714286E-10,20,300
4.39397056076079E-13,3.16227766016838E-12,0.0001,3.58571428571428E-11,9.22857142857143E-11,20,300
4.39397056076079E-13,3.16227766016838E-12,0.0001,9.22857142857143E-11,1.48714285714286E-10,20,300
4.39397056076079E-13,7.19685673001153E-12,0.0001,1.32857142857143E-11,1.6E-10,20,100
4.39397056076079E-13,7.19685673001153E-12,0.0001,6.97142857142857E-11,1.03571428571429E-10,20,100
4.39397056076079E-13,1.63789370695407E-11,0.0001,2E-12,1.14857142857143E-10,20,100
4.39397056076079E-13,1.63789370695407E-11,0.0001,4.71428571428571E-11,1.26142857142857E-10,20,100
4.39397056076079E-13,1.63789370695407E-11,0.0001,1.26142857142857E-10,1.37428571428571E-10,20,100
4.39397056076079E-13,7.19685673001153E-12,0.0001,3.58571428571428E-11,6.97142857142857E-11,20,200
4.39397056076079E-13,7.19685673001153E-12,0.0001,9.22857142857143E-11,1.26142857142857E-10,20,200
4.39397056076079E-13,1.63789370695407E-11,0.0001,2.45714285714286E-11,4.71428571428571E-11,20,200
4.39397056076079E-13,1.63789370695407E-11,0.0001,6.97142857142857E-11,1.37428571428571E-10,20,200
4.39397056076079E-13,7.19685673001153E-12,0.0001,1.32857142857143E-11,4.71428571428571E-11,20,300
4.39397056076079E-13,7.19685673001153E-12,0.0001,5.84285714285714E-11,9.22857142857143E-11,20,300
4.39397056076079E-13,7.19685673001153E-12,0.0001,1.48714285714286E-10,1.6E-10,20,300
4.39397056076079E-13,1.63789370695407E-11,0.0001,4.71428571428571E-11,8.1E-11,20,300
4.39397056076079E-13,1.63789370695407E-11,0.0001,1.14857142857143E-10,1.37428571428571E-10,20,300
4.39397056076079E-13,3.72759372031494E-11,0.0001,3.58571428571428E-11,4.71428571428571E-11,20,100
4.39397056076079E-13,3.72759372031494E-11,0.0001,9.22857142857143E-11,1.03571428571429E-10,20,100
4.39397056076079E-13,8.48342898244072E-11,0.0001,2.45714285714286E-11,2.45714285714286E-11,20,100
4.39397056076079E-13,8.48342898244072E-11,0.0001,6.97142857142857E-11,1.14857142857143E-10,20,100
4.39397056076079E-13,3.72759372031494E-11,0.0001,2E-12,1.26142857142857E-10,20,200
4.39397056076079E-13,3.72759372031494E-11,0.0001,4.71428571428571E-11,1.48714285714286E-10,20,200
4.39397056076079E-13,3.72759372031494E-11,0.0001,1.26142857142857E-10,1.6E-10,20,200
4.39397056076079E-13,8.48342898244072E-11,0.0001,3.58571428571428E-11,1.6E-10,20,200
4.39397056076079E-13,8.48342898244072E-11,0.0001,1.03571428571429E-10,1.48714285714286E-10,20,200
4.39397056076079E-13,3.72759372031494E-11,0.0001,2.45714285714286E-11,1.48714285714286E-10,20,300
4.39397056076079E-13,3.72759372031494E-11,0.0001,8.1E-11,1.48714285714286E-10,20,300
4.39397056076079E-13,8.48342898244072E-11,0.0001,2.45714285714286E-11,3.58571428571428E-11,20,300
4.39397056076079E-13,8.48342898244072E-11,0.0001,6.97142857142857E-11,1.26142857142857E-10,20,300
4.39397056076079E-13,1.93069772888325E-10,0.0001,1.32857142857143E-11,4.71428571428571E-11,20,100
4.39397056076079E-13,1.93069772888325E-10,0.0001,5.84285714285714E-11,9.22857142857143E-11,20,100
4.39397056076079E-13,1.93069772888325E-10,0.0001,1.48714285714286E-10,1.6E-10,20,100
4.39397056076079E-13,4.39397056076079E-10,0.0001,4.71428571428571E-11,6.97142857142857E-11,20,100
4.39397056076079E-13,4.39397056076079E-10,0.0001,1.14857142857143E-10,1.26142857142857E-10,20,100
4.39397056076079E-13,0.000000001,0.0001,3.58571428571428E-11,6.97142857142857E-11,20,100
4.39397056076079E-13,0.000000001,0.0001,9.22857142857143E-11,1.26142857142857E-10,20,100
4.39397056076079E-13,1.93069772888325E-10,0.0001,2.45714285714286E-11,1.26142857142857E-10,20,200
4.39397056076079E-13,1.93069772888325E-10,0.0001,8.1E-11,1.26142857142857E-10,20,200
4.39397056076079E-13,4.39397056076079E-10,0.0001,2.45714285714286E-11,2.45714285714286E-11,20,200
4.39397056076079E-13,4.39397056076079E-10,0.0001,6.97142857142857E-11,1.14857142857143E-10,20,200
4.39397056076079E-13,0.000000001,0.0001,1.32857142857143E-11,6.97142857142857E-11,20,200
4.39397056076079E-13,0.000000001,0.0001,5.84285714285714E-11,1.14857142857143E-10,20,200
4.39397056076079E-13,1.93069772888325E-10,0.0001,2E-12,9.22857142857143E-11,20,300
4.39397056076079E-13,1.93069772888325E-10,0.0001,4.71428571428571E-11,1.6E-10,20,300
4.39397056076079E-13,1.93069772888325E-10,0.0001,1.37428571428571E-10,1.37428571428571E-10,20,300
4.39397056076079E-13,4.39397056076079E-10,0.0001,4.71428571428571E-11,4.71428571428571E-11,20,300
4.39397056076079E-13,4.39397056076079E-10,0.0001,1.03571428571429E-10,1.6E-10,20,300
4.39397056076079E-13,0.000000001,0.0001,3.58571428571428E-11,6.97142857142857E-11,20,300
4.39397056076079E-13,0.000000001,0.0001,9.22857142857143E-11,1.26142857142857E-10,20,300
1E-12,1.38949549437314E-12,0.0001,1.32857142857143E-11,5.84285714285714E-11,20,100
1E-12,1.38949549437314E-12,0.0001,5.84285714285714E-11,1.03571428571429E-10,20,100
1E-12,1.38949549437314E-12,0.0001,1.6E-10,1.6E-10,20,100
1E-12,3.16227766016838E-12,0.0001,3.58571428571428E-11,1.14857142857143E-10,20,100
1E-12,3.16227766016838E-12,0.0001,1.03571428571429E-10,1.03571428571429E-10,20,100
1E-12,7.19685673001153E-12,0.0001,2.45714285714286E-11,6.97142857142857E-11,20,100
1E-12,7.19685673001153E-12,0.0001,6.97142857142857E-11,1.6E-10,20,100
1E-12,1.38949549437314E-12,0.0001,1.32857142857143E-11,3.58571428571428E-11,20,200
1E-12,1.38949549437314E-12,0.0001,5.84285714285714E-11,8.1E-11,20,200
1E-12,1.38949549437314E-12,0.0001,1.48714285714286E-10,1.48714285714286E-10,20,200
1E-12,3.16227766016838E-12,0.0001,3.58571428571428E-11,1.37428571428571E-10,20,200
1E-12,3.16227766016838E-12,0.0001,1.03571428571429E-10,1.26142857142857E-10,20,200
1E-12,7.19685673001153E-12,0.0001,2.45714285714286E-11,1.37428571428571E-10,20,200
1E-12,7.19685673001153E-12,0.0001,8.1E-11,1.37428571428571E-10,20,200
1E-12,1.38949549437314E-12,0.0001,1.32857142857143E-11,1.14857142857143E-10,20,300
1E-12,1.38949549437314E-12,0.0001,5.84285714285714E-11,1.6E-10,20,300
1E-12,3.16227766016838E-12,0.0001,2E-12,4.71428571428571E-11,20,300
1E-12,3.16227766016838E-12,0.0001,4.71428571428571E-11,1.14857142857143E-10,20,300
1E-12,3.16227766016838E-12,0.0001,1.26142857142857E-10,1.26142857142857E-10,20,300
1E-12,7.19685673001153E-12,0.0001,3.58571428571428E-11,1.03571428571429E-10,20,300
1E-12,7.19685673001153E-12,0.0001,9.22857142857143E-11,1.6E-10,20,300
1E-12,1.63789370695407E-11,0.0001,2.45714285714286E-11,1.03571428571429E-10,20,100
1E-12,1.63789370695407E-11,0.0001,8.1E-11,1.03571428571429E-10,20,100
1E-12,3.72759372031494E-11,0.0001,1.32857142857143E-11,1.37428571428571E-10,20,100
1E-12,3.72759372031494E-11,0.0001,6.97142857142857E-11,8.1E-11,20,100
1E-12,1.63789370695407E-11,0.0001,1.32857142857143E-11,2.45714285714286E-11,20,200
1E-12,1.63789370695407E-11,0.0001,5.84285714285714E-11,6.97142857142857E-11,20,200
1E-12,1.63789370695407E-11,0.0001,1.37428571428571E-10,1.6E-10,20,200
1E-12,3.72759372031494E-11,0.0001,4.71428571428571E-11,6.97142857142857E-11,20,200
1E-12,3.72759372031494E-11,0.0001,1.14857142857143E-10,1.26142857142857E-10,20,200
1E-12,1.63789370695407E-11,0.0001,3.58571428571428E-11,8.1E-11,20,300
1E-12,1.63789370695407E-11,0.0001,9.22857142857143E-11,1.37428571428571E-10,20,300
1E-12,3.72759372031494E-11,0.0001,2.45714285714286E-11,1.26142857142857E-10,20,300
1E-12,3.72759372031494E-11,0.0001,8.1E-11,1.26142857142857E-10,20,300
1E-12,8.48342898244072E-11,0.0001,2.45714285714286E-11,2.45714285714286E-11,20,100
1E-12,8.48342898244072E-11,0.0001,6.97142857142857E-11,1.14857142857143E-10,20,100
1E-12,1.93069772888325E-10,0.0001,1.32857142857143E-11,1.03571428571429E-10,20,100
1E-12,1.93069772888325E-10,0.0001,5.84285714285714E-11,1.48714285714286E-10,20,100
1E-12,8.48342898244072E-11,0.0001,1.32857142857143E-11,1.32857142857143E-11,20,200
1E-12,8.48342898244072E-11,0.0001,5.84285714285714E-11,5.84285714285714E-11,20,200
1E-12,8.48342898244072E-11,0.0001,1.37428571428571E-10,1.48714285714286E-10,20,200
1E-12,1.93069772888325E-10,0.0001,4.71428571428571E-11,8.1E-11,20,200
1E-12,1.93069772888325E-10,0.0001,1.14857142857143E-10,1.37428571428571E-10,20,200
1E-12,8.48342898244072E-11,0.0001,3.58571428571428E-11,1.14857142857143E-10,20,300
1E-12,8.48342898244072E-11,0.0001,1.03571428571429E-10,1.03571428571429E-10,20,300
1E-12,1.93069772888325E-10,0.0001,3.58571428571428E-11,4.71428571428571E-11,20,300
1E-12,1.93069772888325E-10,0.0001,9.22857142857143E-11,1.03571428571429E-10,20,300
