k_matrix,k_fault,viscosity,S_matrix,S_fault,rate,fz_thickness
3.72759372031494E-14,4.39397056076079E-10,0.0002714286,2E-12,1.26142857142857E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0002714286,8.1E-11,1.26142857142857E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0002714286,8.1E-11,1.37428571428571E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0002714286,8.1E-11,1.48714285714286E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0002714286,8.1E-11,1.6E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0002714286,9.22857142857143E-11,1.6E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0002857143,6.97142857142857E-11,1.37428571428571E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0002857143,6.97142857142857E-11,1.48714285714286E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0002857143,6.97142857142857E-11,1.6E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0002857143,8.1E-11,1.37428571428571E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0002857143,8.1E-11,1.48714285714286E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0002857143,8.1E-11,1.6E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0002857143,9.22857142857143E-11,1.6E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0003,6.97142857142857E-11,1.03571428571429E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0003,6.97142857142857E-11,1.14857142857143E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0003,6.97142857142857E-11,1.26142857142857E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0003,6.97142857142857E-11,1.37428571428571E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0003,6.97142857142857E-11,1.48714285714286E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0003,6.97142857142857E-11,1.6E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0003,8.1E-11,1.37428571428571E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0003,8.1E-11,1.48714285714286E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0003,8.1E-11,1.6E-10,20,300
3.72759372031494E-14,4.39397056076079E-10,0.0003,9.22857142857143E-11,1.6E-10,20,300
3.72759372031494E-14,0.000000001,0.0002,1.03571428571429E-10,1.6E-10,20,300
3.72759372031494E-14,0.000000001,0.0002142857,9.22857142857143E-11,1.6E-10,20,300
3.72759372031494E-14,0.000000001,0.0002142857,1.03571428571429E-10,1.6E-10,20,300
3.72759372031494E-14,0.000000001,0.0002285714,9.22857142857143E-11,1.48714285714286E-10,20,300
3.72759372031494E-14,0.000000001,0.0002285714,9.22857142857143E-11,1.6E-10,20,300
3.72759372031494E-14,0.000000001,0.0002428571,8.1E-11,1.48714285714286E-10,20,300
3.72759372031494E-14,0.000000001,0.0002428571,8.1E-11,1.6E-10,20,300
3.72759372031494E-14,0.000000001,0.0002428571,9.22857142857143E-11,1.48714285714286E-10,20,300
3.72759372031494E-14,0.000000001,0.0002428571,9.22857142857143E-11,1.6E-10,20,300
3.72759372031494E-14,0.000000001,0.0002571429,8.1E-11,1.26142857142857E-10,20,300
3.72759372031494E-14,0.000000001,0.0002571429,8.1E-11,1.37428571428571E-10,20,300
3.72759372031494E-14,0.000000001,0.0002571429,8.1E-11,1.48714285714286E-10,20,300
3.72759372031494E-14,0.000000001,0.0002571429,8.1E-11,1.6E-10,20,300
3.72759372031494E-14,0.000000001,0.0002571429,9.22857142857143E-11,1.48714285714286E-10,20,300
3.72759372031494E-14,0.000000001,0.0002571429,9.22857142857143E-11,1.6E-10,20,300
3.72759372031494E-14,0.000000001,0.0002714286,2E-12,1.26142857142857E-10,20,300
3.72759372031494E-14,0.000000001,0.0002714286,6.97142857142857E-11,1.6E-10,20,300
3.72759372031494E-14,0.000000001,0.0002714286,8.1E-11,1.26142857142857E-10,20,300
3.72759372031494E-14,0.000000001,0.0002714286,8.1E-11,1.37428571428571E-10,20,300
3.72759372031494E-14,0.000000001,0.0002714286,8.1E-11,1.48714285714286E-10,20,300
3.72759372031494E-14,0.000000001,0.0002714286,8.1E-11,1.6E-10,20,300
3.72759372031494E-14,0.000000001,0.0002714286,9.22857142857143E-11,1.6E-10,20,300
3.72759372031494E-14,0.000000001,0.0002857143,6.97142857142857E-11,1.14857142857143E-10,20,300
3.72759372031494E-14,0.000000001,0.0002857143,6.97142857142857E-11,1.26142857142857E-10,20,300
3.72759372031494E-14,0.000000001,0.0002857143,6.97142857142857E-11,1.37428571428571E-10,20,300
3.72759372031494E-14,0.000000001,0.0002857143,6.97142857142857E-11,1.48714285714286E-10,20,300
3.72759372031494E-14,0.000000001,0.0002857143,6.97142857142857E-11,1.6E-10,20,300
3.72759372031494E-14,0.000000001,0.0002857143,8.1E-11,1.37428571428571E-10,20,300
3.72759372031494E-14,0.000000001,0.0002857143,8.1E-11,1.48714285714286E-10,20,300
3.72759372031494E-14,0.000000001,0.0002857143,8.1E-11,1.6E-10,20,300
3.72759372031494E-14,0.000000001,0.0002857143,9.22857142857143E-11,1.6E-10,20,300
3.72759372031494E-14,0.000000001,0.0003,5.84285714285714E-11,1.6E-10,20,300
3.72759372031494E-14,0.000000001,0.0003,6.97142857142857E-11,1.14857142857143E-10,20,300
3.72759372031494E-14,0.000000001,0.0003,6.97142857142857E-11,1.26142857142857E-10,20,300
3.72759372031494E-14,0.000000001,0.0003,6.97142857142857E-11,1.37428571428571E-10,20,300
3.72759372031494E-14,0.000000001,0.0003,6.97142857142857E-11,1.48714285714286E-10,20,300
3.72759372031494E-14,0.000000001,0.0003,6.97142857142857E-11,1.6E-10,20,300
3.72759372031494E-14,0.000000001,0.0003,8.1E-11,1.37428571428571E-10,20,300
3.72759372031494E-14,0.000000001,0.0003,8.1E-11,1.48714285714286E-10,20,300
3.72759372031494E-14,0.000000001,0.0003,8.1E-11,1.6E-10,20,300
3.72759372031494E-14,0.000000001,0.0003,9.22857142857143E-11,1.6E-10,20,300
